Order_Quantity,Net_price,dubai_marker,premium,api_60F,water_vol_perc,water_mass_perc,sulfur_mass_perc,salt_lbs_per_kbbl,mechanical_impur_mass_perc,mechanical_impur_vol_perc
699943.58,65.97,62.735,3.235,35.65,0.710724,0.84,0.251,31.7,0.017,0.007
707351.39,67.47,62.735,4.735,36.09,0.371316,0.44,0.261,17.7,0.01,0.004
696970.5,67.82,62.735,5.085,35.64,0.431511,0.51,0.258,18.9,0.013,0.006
700497.63,72.1,68.271,3.829,35.89,0.912492,1.08,0.262,39,0.023,0.01
709296.29,72.9,68.271,4.629,35.45,0.787803,0.93,0.262,32.1,0.018,0.008
713776.47,73.15,74.413,-1.263,35.23,0.576776,0.68,0.275,25.3,0.016,0.007
711616.66,78.64,74.413,4.227,35.61,0.457002,0.54,0.273,21.3,0.032,0.014
713824.79,78.67,74.413,4.257,34.76,0.229662,0.27,0.273,11.3,0.011,0.005
710312.13,80.09,73.591,6.499,35.63,0.160778,0.19,0.257,7.6,0.02,0.008
712062.31,79.12,73.591,5.529,34.97,0.543744,0.64,0.27,17.1,0.023,0.01
686658.33,79.01,73.591,5.419,34.92,0.484386,0.57,0.27,18.2,0.014,0.006
710667.05,79.82,73.12,6.7,35.16,0.534618,0.63,0.259,19.2,0.015,0.006
709592.64,79.08,73.12,5.96,35.35,0.822172,0.97,0.244,28.7,0.016,0.007
703772.46,76.83,72.487,4.343,35.31,0.873234,1.03,0.231,37.1,0.016,0.007
707665.13,76.45,72.487,3.963,35.17,0.738282,0.87,0.285,26.7,0.02,0.008
705153.23,76.8,72.487,4.313,34.88,0.8075,0.95,0.293,40.7,0.023,0.01
196622.01,78.06,73.12,4.94,35.21,0.839916,0.99,0.254,32.6,0.021,0.009
508827.75,78.06,73.12,4.94,35.21,0.839916,0.99,0.254,32.6,0.021,0.009
704967.19,80.54,77.247,3.293,34.47,0.698722,0.82,0.303,33.8,0.019,0.008
704054.31,79.44,77.247,2.193,34.74,0.825179,0.97,0.293,37.7,0.014,0.006
706996.98,80.67,77.247,3.423,34.93,0.416402,0.49,0.29,18.9,0.01,0.004
710046.03,84.47,79.388,5.082,34.68,0.56166,0.66,0.301,29.4,0.017,0.007
690943.59,70.77,65.561,5.209,34.76,0.791058,0.93,0.291,38.9,0.018,0.008
699418.85,70.38,65.561,4.819,35.12,0.08488,0.1,0.305,5.7,0.004,0.002
397446.1,83.34,79.388,3.952,35.11,0.865878,1.02,0.288,35.7,0.017,0.007
297399.08,83.34,79.388,3.952,35.11,0.865878,1.02,0.288,35.7,0.017,0.007
398791.35,82.97,79.388,3.582,35.19,0.653345,0.77,0.292,26.5,0.014,0.006
300786.34,82.97,79.388,3.582,35.19,0.653345,0.77,0.292,26.5,0.014,0.006
694487.37,65.47,57.318,8.152,34.95,0.637275,0.75,0.301,27.3,0.014,0.006
698378.08,62.63,57.318,5.312,34.75,0.723095,0.85,0.303,33.5,0.018,0.008
394659.64,70.87,65.561,5.309,34.89,0.8415,0.99,0.291,38.3,0.019,0.008
296427.05,70.87,65.561,5.309,34.89,0.8415,0.99,0.291,38.3,0.019,0.008
399840.14,71.01,65.561,5.449,35.07,0.670789,0.79,0.3,37.3,0.017,0.007
295472.24,71.01,65.561,5.449,35.07,0.670789,0.79,0.3,37.3,0.017,0.007
701137.02,64.58,59.08,5.5,34.5,0.81792,0.96,0.308,38.5,0.02,0.009
697866.99,64.19,59.08,5.11,34.56,0.715428,0.84,0.297,39.3,0.02,0.009
690366.81,63.67,59.08,4.59,34.87,0.731,0.86,0.282,41.6,0.018,0.008
350870.83,62.79,57.318,5.472,34.71,0.774319,0.91,0.306,37.8,0.017,0.007
345675.25,62.79,57.318,5.472,34.71,0.774319,0.91,0.306,37.8,0.017,0.007
117991.42,80.58,77.247,3.333,35.07,0.297185,0.35,0.296,18.4,0.005,0.002
350870.83,62.79,59.08,3.71,34.71,0.774319,0.91,0.306,37.8,0.017,0.007
356046.88,80.58,77.247,3.333,35.07,0.297185,0.35,0.296,18.4,0.005,0.002
238801.24,79.82,77.247,2.573,35.07,0.297185,0.35,0.296,18.4,0.005,0.002
700579.23,66.66,64.575,2.085,34.67,0.621303,0.73,0.285,45.5,0.018,0.008
347311.09,64.07,59.08,4.99,34.08,0.68336,0.8,0.28,34.2,0.017,0.007
347385.34,64.07,59.08,4.99,34.08,0.68336,0.8,0.28,34.2,0.017,0.007
348334.25,69.04,64.575,4.465,34.1,0.69174,0.81,0.301,45.5,0.027,0.012
347751.46,69.04,64.575,4.465,34.1,0.69174,0.81,0.301,45.5,0.027,0.012
699155.64,70.91,66.934,3.976,35.09,0.6792,0.8,0.29,33.5,0.017,0.007
227609.97,70.73,66.934,3.796,34.73,0.604068,0.71,0.29,38.9,0.016,0.007
116289.81,70.52,66.934,3.586,34.73,0.604068,0.71,0.29,38.9,0.016,0.007
351848.18,70.52,66.934,3.586,34.73,0.604068,0.71,0.29,38.9,0.016,0.007
696957.53,70.9,66.934,3.966,34.82,0.569701,0.67,0.297,32.1,0.016,0.007
695195.55,70.85,66.934,3.916,35.04,0.67936,0.8,0.292,40.5,0.016,0.007
347173.22,68.69,64.575,4.115,35.12,0.857288,1.01,0.277,48.4,0.02,0.008
347243.31,68.69,64.575,4.115,35.12,0.857288,1.01,0.277,48.4,0.02,0.008
698100.09,74.37,70.95,3.42,35.21,0.687123,0.81,0.287,37.1,0.016,0.007
698176.51,74.4,70.95,3.45,34.98,0.6796,0.8,0.287,41.9,0.018,0.008
701728.38,73.68,70.95,2.73,35.04,0.475552,0.56,0.289,29.9,0.014,0.006
704965.13,74.4,70.95,3.45,34.97,0.628704,0.74,0.293,40.1,0.02,0.008
709172.08,72.74,69.375,3.365,35.02,0.526566,0.62,0.293,35.6,0.015,0.006
708315.03,72.84,69.375,3.465,34.82,0.646228,0.76,0.288,50.7,0.018,0.008
711458.43,72.86,69.375,3.485,34.4,0.22165,0.26,0.299,13.7,0.01,0.004
706317.66,73.24,69.375,3.865,34.11,0.44408,0.52,0.305,28.6,0.018,0.008
709819.87,63.92,61.759,2.161,34.57,0.29806,0.35,0.294,25.1,0.013,0.006
710493.16,66.41,61.759,4.651,34.6,0.06812,0.08,0.304,6.4,0.004,0.002
